time,gt_x,gt_y,gt_vx,gt_vy,fused_x,fused_y,fused_vx,fused_vy,lidar_x,lidar_y,radar_x,radar_y
0.960000,49.081228,9.541126,-1.908225,9.816246,49.192680,9.139180,-1.707790,9.678772,49.333538,8.852067,48.981361,10.140726
0.970000,49.062047,9.639270,-1.927854,9.812409,49.192680,9.139180,-1.707790,9.678772,49.333538,8.852067,48.981361,10.140726
0.980000,49.042671,9.737374,-1.947475,9.808534,49.078434,9.610731,-1.932008,9.622395,49.333538,8.852067,48.878387,10.291527
0.990000,49.023098,9.835440,-1.967088,9.804620,49.078434,9.610731,-1.932008,9.622395,49.333538,8.852067,48.878387,10.291527
1.000000,49.003329,9.933467,-1.986693,9.800666,49.045437,9.886267,-1.934629,9.816869,49.187801,9.923812,48.878387,10.291527
1.010000,48.983364,10.031453,-2.006291,9.796673,49.045437,9.886267,-1.934629,9.816869,49.187801,9.923812,48.878387,10.291527
1.020000,48.963203,10.129400,-2.025880,9.792641,49.045437,9.886267,-1.934629,9.816869,49.187801,9.923812,48.878387,10.291527
1.030000,48.942846,10.227306,-2.045461,9.788569,48.980421,10.178213,-1.920461,9.819770,49.187801,9.923812,48.774250,10.643795
1.040000,48.922294,10.325171,-2.065034,9.784459,48.980421,10.178213,-1.920461,9.819770,49.187801,9.923812,48.774250,10.643795
1.050000,48.901546,10.422995,-2.084599,9.780309,48.980421,10.178213,-1.920461,9.819770,49.187801,9.923812,48.774250,10.643795
1.060000,48.880602,10.520777,-2.104155,9.776120,48.980421,10.178213,-1.920461,9.819770,49.187801,9.923812,48.774250,10.643795
1.070000,48.859463,10.618517,-2.123703,9.771893,48.980421,10.178213,-1.920461,9.819770,49.187801,9.923812,48.774250,10.643795
1.080000,48.838128,10.716215,-2.143243,9.767626,48.881763,10.657198,-1.977830,9.778992,49.187801,9.923812,48.714144,10.846251
1.090000,48.816598,10.813870,-2.162774,9.763320,48.881763,10.657198,-1.977830,9.778992,49.187801,9.923812,48.714144,10.846251
1.100000,48.794872,10.911481,-2.182296,9.758974,48.823454,10.982219,-2.022603,10.095339,48.935287,11.050714,48.714144,10.846251
1.110000,48.772952,11.009049,-2.201810,9.754590,48.823454,10.982219,-2.022603,10.095339,48.935287,11.050714,48.714144,10.846251
1.120000,48.750836,11.106573,-2.221315,9.750167,48.823454,10.982219,-2.022603,10.095339,48.935287,11.050714,48.714144,10.846251
1.130000,48.728526,11.204052,-2.240810,9.745705,48.744117,11.288498,-2.212461,10.070635,48.935287,11.050714,48.583548,11.517186
1.140000,48.706020,11.301487,-2.260297,9.741204,48.744117,11.288498,-2.212461,10.070635,48.935287,11.050714,48.583548,11.517186
