time,gt_x,gt_y,gt_vx,gt_vy,fused_x,fused_y,fused_vx,fused_vy,lidar_x,lidar_y,radar_x,radar_y
15.499999,-49.956758,2.079033,-0.415807,-9.991352,-49.953248,2.320383,-0.517129,-10.042633,-49.925099,3.015094,-49.997280,2.356674
15.509999,-49.960816,1.979116,-0.395823,-9.992163,-49.975689,1.977257,-0.532609,-10.145718,-50.024896,1.963044,-49.997280,2.356674
15.519999,-49.964674,1.879190,-0.375838,-9.992935,-49.975689,1.977257,-0.532609,-10.145718,-50.024896,1.963044,-49.997280,2.356674
15.529999,-49.968332,1.779257,-0.355851,-9.993666,-49.954017,1.782710,-0.309916,-10.133845,-50.024896,1.963044,-49.936156,2.084071
15.539999,-49.971791,1.679317,-0.335863,-9.994358,-49.954017,1.782710,-0.309916,-10.133845,-50.024896,1.963044,-49.936156,2.084071
15.549999,-49.975050,1.579370,-0.315874,-9.995010,-49.954017,1.782710,-0.309916,-10.133845,-50.024896,1.963044,-49.936156,2.084071
15.559999,-49.978108,1.479417,-0.295883,-9.995622,-49.954017,1.782710,-0.309916,-10.133845,-50.024896,1.963044,-49.936156,2.084071
15.569999,-49.980967,1.379458,-0.275892,-9.996193,-49.954017,1.782710,-0.309916,-10.133845,-50.024896,1.963044,-49.936156,2.084071
15.579999,-49.983626,1.279493,-0.255899,-9.996725,-49.980506,1.269143,-0.372193,-10.148137,-50.024896,1.963044,-49.991729,1.453295
15.589999,-49.986085,1.179523,-0.235905,-9.997217,-49.980506,1.269143,-0.372193,-10.148137,-50.024896,1.963044,-49.991729,1.453295
15.599999,-49.988344,1.079549,-0.215910,-9.997669,-49.980506,1.269143,-0.372193,-10.148137,-50.024896,1.963044,-49.991729,1.453295
15.609999,-49.990404,0.979570,-0.195914,-9.998081,-49.960690,0.954856,-0.326679,-10.182724,-49.937785,0.930514,-49.991729,1.453295
15.619999,-49.992263,0.879587,-0.175917,-9.998453,-49.960690,0.954856,-0.326679,-10.182724,-49.937785,0.930514,-49.991729,1.453295
15.629999,-49.993922,0.779601,-0.155920,-9.998784,-49.980668,0.750935,-0.368029,-10.179531,-49.937785,0.930514,-50.043344,0.893949
15.639999,-49.995381,0.679612,-0.135922,-9.999076,-49.980668,0.750935,-0.368029,-10.179531,-49.937785,0.930514,-50.043344,0.893949
